               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066078,            0.027879,            0.033372,            0.088418,              0.4747,            0.081099,            0.032295,            0.036585,            0.015655,            0.035063,            0.070353,           0.0032941,           0.0032941
                   1,            0.047313,            0.022532,            0.025912,            0.030133,             0.16036,            0.062653,            0.029171,            0.040233,            0.010327,            0.054144,            0.040309,           0.0065837,           0.0065837
                   2,            0.047159,            0.019884,            0.019236,            0.045293,             0.23081,             0.06863,            0.032588,            0.033971,           0.0091058,            0.057439,            0.010221,           0.0098293,           0.0098293
                   3,             0.04519,            0.018804,            0.015282,            0.032703,             0.11525,            0.067805,            0.032959,            0.032854,           0.0090004,             0.06902,            0.009802,            0.009802,            0.009802
                   4,            0.040447,            0.018259,            0.014439,            0.044333,             0.84358,            0.054882,            0.025097,            0.028772,           0.0098492,            0.071561,            0.009802,            0.009802,            0.009802
                   5,            0.041359,            0.018991,            0.012916,            0.015024,             0.95283,            0.074888,            0.038723,            0.024108,           0.0088393,            0.079115,            0.009736,            0.009736,            0.009736
                   6,            0.037765,             0.01906,            0.011477,            0.071072,             0.86099,            0.087529,            0.047389,            0.024896,           0.0088348,            0.080938,             0.00967,             0.00967,             0.00967
                   7,            0.038284,            0.019371,            0.015364,            0.047223,             0.11935,            0.081665,            0.040027,            0.026167,           0.0090186,            0.079027,            0.009604,            0.009604,            0.009604
                   8,            0.035956,            0.018639,            0.012531,            0.064304,             0.87685,            0.088479,            0.046346,            0.021984,           0.0087756,             0.08154,            0.009538,            0.009538,            0.009538
                   9,            0.034968,              0.0187,            0.011896,            0.027341,             0.96229,             0.10363,            0.055405,            0.021168,           0.0087189,            0.086037,            0.009472,            0.009472,            0.009472
                  10,             0.03435,            0.018453,            0.011937,            0.024856,             0.95626,            0.082204,            0.044429,            0.021815,           0.0086426,            0.087547,            0.009406,            0.009406,            0.009406
                  11,            0.033117,            0.017994,            0.010384,            0.066173,              0.8879,             0.10043,            0.049745,            0.024461,           0.0082851,            0.083572,             0.00934,             0.00934,             0.00934
                  12,            0.034126,            0.018311,             0.00966,            0.028785,             0.95804,             0.10598,            0.058216,             0.02146,           0.0086239,            0.090085,            0.009274,            0.009274,            0.009274
                  13,            0.033749,            0.017808,           0.0084992,             0.06728,             0.15804,              0.1045,            0.056256,            0.022296,            0.008557,            0.087438,            0.009208,            0.009208,            0.009208
                  14,            0.032275,            0.018847,            0.010497,            0.027427,             0.92403,            0.058354,            0.031123,            0.023173,            0.008893,            0.092551,            0.009142,            0.009142,            0.009142
                  15,            0.031052,            0.018551,            0.010845,            0.029578,             0.94458,            0.081894,            0.042363,            0.022238,           0.0094888,            0.079558,            0.009076,            0.009076,            0.009076
                  16,            0.031183,            0.018693,            0.010383,            0.030755,             0.92808,             0.06749,            0.034403,            0.023187,           0.0092951,            0.093514,             0.00901,             0.00901,             0.00901
                  17,            0.032415,            0.017891,            0.010636,            0.036376,             0.95746,             0.07741,            0.042153,            0.021192,           0.0088445,            0.093712,            0.008944,            0.008944,            0.008944
                  18,            0.032168,            0.018672,           0.0092662,            0.055387,             0.24852,            0.075062,            0.042032,            0.021334,           0.0090505,            0.083987,            0.008878,            0.008878,            0.008878
                  19,            0.031935,            0.018007,            0.010473,            0.030651,             0.94845,            0.078427,            0.041996,            0.022228,           0.0091567,            0.090233,            0.008812,            0.008812,            0.008812
                  20,            0.031019,            0.017997,           0.0094369,            0.036626,             0.94417,            0.088802,            0.048767,            0.022186,           0.0087851,            0.096429,            0.008746,            0.008746,            0.008746
                  21,            0.030772,             0.01823,           0.0082793,            0.040477,             0.96132,            0.086193,            0.047049,            0.021918,           0.0084592,            0.097261,             0.00868,             0.00868,             0.00868
                  22,            0.032294,            0.017441,           0.0089492,            0.036108,             0.96112,            0.091896,            0.050209,            0.021575,           0.0088059,            0.087655,            0.008614,            0.008614,            0.008614
                  23,            0.029714,            0.017558,           0.0084346,            0.040178,             0.93999,            0.087931,            0.046518,            0.021455,            0.009068,            0.091964,            0.008548,            0.008548,            0.008548
                  24,            0.030631,            0.017721,            0.010097,            0.048109,             0.92384,             0.11164,            0.059153,            0.021114,           0.0091429,            0.096215,            0.008482,            0.008482,            0.008482
                  25,            0.028086,            0.016981,           0.0084169,            0.049028,             0.94822,            0.096816,            0.054344,             0.01998,           0.0088016,             0.10518,            0.008416,            0.008416,            0.008416
                  26,            0.029599,            0.017557,           0.0072706,            0.039547,              0.8903,            0.072531,            0.038404,            0.023105,           0.0087831,             0.10804,             0.00835,             0.00835,             0.00835
                  27,            0.030567,            0.016973,           0.0081734,            0.049697,             0.93627,             0.10227,            0.056831,            0.020867,           0.0085617,             0.09811,            0.008284,            0.008284,            0.008284
                  28,            0.029075,            0.017763,           0.0089932,            0.054148,             0.93244,            0.087931,            0.047826,            0.020409,           0.0090544,             0.10595,            0.008218,            0.008218,            0.008218
